"Gasday","HGasSLPsyn","HGasSLPana","LGasSLPsyn","LGasSLPana","HGasRLMmT","LGasRLMmT","HGasRLMoT","LGasRLMoT","Status","Unit"
2022-05-26,263022264,49811304,58372632,16546752,803246160,126470640,45825991,3716944,final,kWh
2022-05-27,294566664,56178504,68484792,16707912,854131152,139072848,46860410,3961647,final,kWh
2022-05-28,368847600,59280960,83483424,16641120,802481616,136282080,46970763,4011655,final,kWh
2022-05-29,459617616,65307096,102588408,19119936,883306464,143176728,52516750,5157660,final,kWh
2022-05-30,495143592,71701536,110547864,20468688,1155832032,175965888,53580613,10132994,final,kWh
2022-05-31,421654128,72920160,96411024,24697896,1139473728,172668480,51964461,9960332,final,kWh
2022-06-01,371029800,70495488,84327864,25253448,1143489408,164177544,47326529,5093241,final,kWh
2022-06-02,323304024,63709512,75806088,23506728,1112641752,158242224,43600803,4120456,final,kWh
2022-06-03,244805112,56635824,58699272,22054368,1009160160,139103664,42513378,2421859,final,kWh
2022-06-04,199219272,53696688,46407912,18794232,781346448,111643368,41115246,2379658,final,kWh
2022-06-05,177989160,46537704,41488800,15784032,720388152,100076808,37006647,2244457,final,kWh
2022-06-06,186663984,42360960,44689128,14032272,772950024,109716480,35805148,2319237,final,kWh
2022-06-07,215847144,42304272,50701008,13351152,1049328720,148306440,39754941,3405469,final,kWh
2022-06-08,231176400,42720816,54330696,14203848,1064724408,150874944,39874233,4412242,final,kWh
2022-06-09,252392640,45658008,55180776,14461608,1048292040,152591232,40425024,2436425,final,kWh
2022-06-10,227831832,42730752,50284680,14894952,970361976,141934152,40520910,2405417,final,kWh
2022-06-11,190679112,43623432,42782568,15611928,765190968,118037952,38952810,2821336,final,kWh
2022-06-12,178688352,40254792,42715464,13463208,780353520,120930096,38311118,2262611,final,kWh
2022-06-13,211138200,41502720,50288760,11796384,1007404632,151237584,40343788,2319036,final,kWh
2022-06-14,218760480,42040032,51809784,12214488,1094196408,151571712,41014878,2375542,final,kWh
2022-06-15,186957672,40963608,44191464,13252512,1035992616,144818928,38345474,3553482,final,kWh
2022-06-16,173330712,40380264,41278392,13056144,842908080,129048432,37609224,2766894,final,kWh
2022-06-17,155319336,36732312,35367672,11220792,833291856,130877520,36107801,3612835,final,kWh
2022-06-18,123938160,34698120,26137008,10289904,686705592,111570072,31571168,2095059,final,kWh
2022-06-19,129780432,33843600,31728024,9535464,735719280,115574880,32053295,2558602,final,kWh
2022-06-20,159950160,34911504,40529736,9075192,997689168,145757616,39086156,9106646,final,kWh
2022-06-21,172190400,36637464,40443360,10278672,1036721160,144527904,36811820,7238867,final,kWh
2022-06-22,164619528,37997712,38619120,11565672,1069963536,142791216,38453737,8358854,final,kWh
2022-06-23,144204672,36015120,31939176,10854384,981271200,137549304,30907137,6289110,final,kWh
2022-06-24,144809664,33763536,31393512,10008696,938497296,134625768,33427217,4374396,final,kWh
2022-06-25,134967888,31956192,28788528,9030720,713359608,112722192,31091618,4019709,final,kWh
2022-06-26,135229968,31265472,29623512,9054168,763539168,115244424,29718979,5599520,final,kWh
2022-06-27,143695272,31293600,32453352,8903112,1001711976,142482720,31981446,9981309,final,kWh
2022-06-28,152399664,31535736,34433880,9669936,982766496,142493040,36841190,8886180,final,kWh
2022-06-29,155796960,33467424,33722616,10489968,1030458984,147583464,32674654,10656980,final,kWh
2022-06-30,139373184,31893192,30121056,10075656,1005890280,136720536,31921475,8213090,final,kWh
2022-07-01,163849896,33588816,33610824,9531048,912524136,134363472,33375741,7836605,final,kWh
2022-07-02,158062056,33218592,32780664,9302760,714679368,110911512,30402192,5613665,final,kWh
2022-07-03,148894584,34358544,32740176,10032288,718633704,109308696,28985420,5605609,final,kWh
2022-07-04,158623440,33528624,34759968,9410352,915107520,133874928,33180742,8739251,final,kWh
2022-07-05,163331328,32188320,37509792,9150384,923801976,138328272,31956949,8518626,final,kWh
2022-07-06,182634336,33107160,41138928,9599496,892062384,138724272,38251104,7432778,final,kWh
2022-07-07,202145568,35351640,45012912,9733272,886148208,142351344,35058319,5814938,final,kWh
2022-07-08,204132312,36857232,42546984,10594272,846862392,137251848,34666601,7100832,final,kWh
2022-07-09,196101408,39143664,41890872,11052408,695823576,112123800,29559975,4907692,final,kWh
2022-07-10,212152536,40390344,44163936,10516032,722796960,114291408,30854994,5488509,final,kWh
2022-07-11,201885192,38274792,41740896,9890400,1007428752,134755704,34092379,11853321,final,kWh
2022-07-12,167042280,38332968,32653392,10872408,974379816,132041280,32919907,10354796,final,kWh
2022-07-13,143723544,35716800,29246784,10495368,943097760,131820552,31440452,3197348,final,kWh
2022-07-14,145043136,35025720,31744824,9720648,901351824,131730360,32787907,932393,final,kWh
2022-07-15,162656472,35233224,36072432,9240936,869998032,128108712,35849397,4722797,final,kWh
2022-07-16,170658600,34060080,38786280,9607032,670538304,107779632,34050511,3123577,final,kWh
