"Date","RH"
2021-01-15,83.19396
2021-01-16,79.75935
2021-01-17,87.662605
2021-01-18,90.81971
2021-01-19,87.911896
2021-01-20,73.887764
2021-01-21,68.865326
2021-01-22,79.747795
2021-01-23,90.534706
2021-01-24,89.56045
2021-01-25,89.62535
2021-01-26,87.31491
2021-01-27,88.70735
2021-01-28,91.80064
2021-01-29,88.36019
2021-01-30,87.86607
2021-01-31,86.092094
2021-02-01,86.782906
2021-02-02,92.05833
2021-02-03,91.69961
2021-02-04,85.464676
2021-02-05,89.17655
2021-02-06,84.81198
2021-02-07,81.70225
2021-02-08,80.73315
2021-02-09,82.65689
2021-02-10,82.14112
2021-02-11,79.426765
2021-02-12,76.68809
2021-02-13,76.21607
2021-02-14,71.087425
2021-02-15,69.10064
2021-02-16,90.13209
2021-02-17,87.72467
2021-02-18,80.34022
2021-02-19,80.11899
2021-02-20,75.559296
2021-02-21,71.313385
2021-02-22,73.08121
2021-02-23,71.16336
2021-02-24,71.45927
2021-02-25,69.40389
2021-02-26,79.7849
2021-02-27,83.748535
2021-02-28,82.1114
2021-03-01,80.97661
2021-03-02,77.54162
2021-03-03,75.5148
2021-03-04,81.25213
2021-03-05,73.77231
2021-03-06,70.71389
2021-03-07,71.12247
2021-03-08,70.65935
