"Date","Evaporation"
2020-07-10,-0.11280263
2020-07-11,-0.11824214
2020-07-12,-0.11602756
2020-07-13,-0.12411517
2020-07-14,-0.10707251
2020-07-15,-0.10125173
2020-07-16,-0.0760585
2020-07-17,-0.09949503
2020-07-18,-0.10014724
2020-07-19,-0.1174167
2020-07-20,-0.121787
2020-07-21,-0.116472915
2020-07-22,-0.111010574
2020-07-23,-0.11151844
2020-07-24,-0.100380674
2020-07-25,-0.08671477
2020-07-26,-0.10880316
2020-07-27,-0.10668038
2020-07-28,-0.11851394
2020-07-29,-0.11510015
2020-07-30,-0.113127425
2020-07-31,-0.10974113
2020-08-01,-0.09853817
2020-08-02,-0.08895451
2020-08-03,-0.08711716
2020-08-04,-0.08755215
2020-08-05,-0.10978767
2020-08-06,-0.11093079
2020-08-07,-0.10339747
2020-08-08,-0.097505085
2020-08-09,-0.089975946
2020-08-10,-0.09479746
2020-08-11,-0.09779118
2020-08-12,-0.09928976
2020-08-13,-0.0869431
2020-08-14,-0.08471925
2020-08-15,-0.09196028
2020-08-16,-0.1010559
2020-08-17,-0.08764224
2020-08-18,-0.09234846
2020-08-19,-0.09577854
2020-08-20,-0.09215106
2020-08-21,-0.09801081
2020-08-22,-0.09692515
2020-08-23,-0.09400323
2020-08-24,-0.080909595
2020-08-25,-0.08867938
2020-08-26,-0.10231918
2020-08-27,-0.07958145
2020-08-28,-0.09180945
2020-08-29,-0.07685508
2020-08-30,-0.063270174
2020-08-31,-0.08135429
2020-09-01,-0.08011353
2020-09-02,-0.07825043
2020-09-03,-0.08503272
2020-09-04,-0.09239844
2020-09-05,-0.080781914
2020-09-06,-0.076392025
2020-09-07,-0.07627994
2020-09-08,-0.06847013
2020-09-09,-0.0681024
2020-09-10,-0.07269685
2020-09-11,-0.06979357
2020-09-12,-0.0773827
2020-09-13,-0.07546164
2020-09-14,-0.075230844
2020-09-15,-0.06895638
2020-09-16,-0.06539699
2020-09-17,-0.07050731
2020-09-18,-0.06614915
2020-09-19,-0.06454996
2020-09-20,-0.057722215
